PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,BATS,IDPLAYER
Matt Dominguez,Matt,Dominguez,BOS,3B,29963,Matt Dominguez,R,dominma01
Brock Holt,Brock,Holt,BOS,OF,30841,Brock Holt,L,holtbr01
Junior Lake,Junior,Lake,BOS,OF,30718,Junior Lake,R,lakeju01
Sandy Leon,Sandy,Leon,BOS,C,32101,Sandy Leon,B,leonsa01
Mitch Moreland,Mitch,Moreland,BOS,1B,30452,Mitch Moreland,L,morelmi01
Dustin Pedroia,Dustin,Pedroia,BOS,2B,6393,Dustin Pedroia,R,pedrodu01
Hanley Ramirez,Hanley,Ramirez,BOS,1B,6195,Hanley Ramirez,R,ramirha01
Josh Rutledge,Josh,Rutledge,BOS,3B,32144,Josh Rutledge,R,rutlejo01
Pablo Sandoval,Pablo,Sandoval,BOS,3B,29212,Pablo Sandoval,B,sandopa01
Blake Swihart,Blake,Swihart,BOS,OF,32123,Blake Swihart,B,swihabl01
Sam Travis,Sam,Travis,BOS,1B,,,R,travisa01
Christian Vazquez,Christian,Vazquez,BOS,C,31389,Christian Vazquez,R,vazquch01
Chris Young (H),Chris,Young (H),BOS,OF,6514,Chris Young,R,youngch04
Albert Almora,Albert,Almora,CHC,OF,32686,Albert Almora,R,almoral01
Javier Baez,Javier,Baez,CHC,SS,32127,Javier Baez,R,baezja01
Kris Bryant,Kris,Bryant,CHC,3B,33172,Kris Bryant,R,bryankr01
Willson Contreras,Willson,Contreras,CHC,C,32532,Willson Contreras,R,contrwi01
Ian Happ,Ian,Happ,CHC,OF,34945,Ian Happ,B,happia01
Jason Heyward,Jason,Heyward,CHC,OF,29551,Jason Heyward,L,heywaja01
Jon Jay,Jon,Jay,CHC,OF,29691,Jon Jay,L,jayjo02
Eloy Jimenez,Eloy,Jimenez,CHC,OF,,,R,jimenel02
Tommy La Stella,Tommy,La Stella,CHC,3B,32217,Tommy La Stella,L,lasteto01
Miguel Montero,Miguel,Montero,CHC,C,28586,Miguel Montero,L,montemi01
Anthony Rizzo,Anthony,Rizzo,CHC,1B,30782,Anthony Rizzo,L,rizzoan01
Addison Russell,Addison,Russell,CHC,SS,32656,Addison Russell,R,russead02
Kyle Schwarber,Kyle,Schwarber,CHC,OF,33712,Kyle Schwarber,L,schwaky01
