IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,KFFLNAME,THROWS
edwarca01,Carl Edwards,Carl,Edwards,CHC,P,605218,Carl Edwards,,R
eflinza01,Zach Eflin,Zach,Eflin,PHI,P,32804,Zach Eflin,,R
eickhje01,Jerad Eickhoff,Jerad,Eickhoff,PHI,P,33057,Jerad Eickhoff,,R
eliasro01,Roenis Elias,Roenis,Elias,BOS,P,33152,Roenis Elias,,L
eovalna01,Nathan Eovaldi,Nathan,Eovaldi,NYY,P,31174,Nate Eovaldi,,R
erlinro01,Robbie Erlin,Robbie,Erlin,SD,P,31791,Robbie Erlin,,L
espinan01,Anderson Espinoza,Anderson,Espinoza,SD,P,34987,Anderson Espinoza,,R
estevca01,Carlos Estevez,Carlos,Estevez,COL,P,34861,Carlos Estevez,,R
estrama01,Marco Estrada,Marco,Estrada,TOR,P,29215,Marco Estrada,,R
familje01,Jeurys Familia,Jeurys,Familia,NYM,P,31687,Jeurys Familia,,R
farmebu01,Buck Farmer,Buck,Farmer,DET,P,33627,Buck Farmer,,R
farquda01,Danny Farquhar,Danny,Farquhar,TB,P,30611,Danny Farquhar,,R
feldmsc01,Scott Feldman,Scott,Feldman,CIN,P,6384,Scott Feldman,,R
felizmi01,Michael Feliz,Michael,Feliz,HOU,P,33235,Michael Feliz,,R
felizne01,Neftali Feliz,Neftali,Feliz,MIL,P,30149,Neftali Feliz,,R
fieldjo03,Josh Fields,Josh,Fields,LAD,P,30213,Josh Fields,,R
fienca01,Casey Fien,Casey,Fien,SEA,P,29376,Casey Fien,,R
fiersmi01,Mike Fiers,Mike,Fiers,HOU,P,30773,Mike Fiers,,R
finnebr01,Brandon Finnegan,Brandon,Finnegan,CIN,P,33633,Brandon Finnegan,,L
flynnbr01,Brian Flynn,Brian,Flynn,KC,P,32671,Brian Flynn,,L
foltymi01,Mike Foltynewicz,Mike,Foltynewicz,ATL,P,31819,Mike Foltynewicz,,R
freemsa01,Sam Freeman,Sam,Freeman,ATL,P,32075,Sam Freeman,,L
friasca01,Carlos Frias,Carlos,Frias,LAD,P,33272,Carlos Frias,,R
friedch01,Christian Friedrich,Christian,Friedrich,SD,P,30603,Christian Friedrich,,L
fulmeca01,Carson Fulmer,Carson,Fulmer,CHW,P,34913,Carson Fulmer,,R
fulmemi01,Michael Fulmer,Michael,Fulmer,DET,P,34842,Michael Fulmer,,R
gallayo01,Yovani Gallardo,Yovani,Gallardo,SEA,P,28650,Yovani Gallardo,,R
garcija02,Jaime Garcia,Jaime,Garcia,ATL,P,29185,Jaime Garcia,,L
garciyi01,Yimi Garcia,Yimi,Garcia,LAD,P,32888,Yimi Garcia,,R
garzama01,Matt Garza,Matt,Garza,MIL,P,28528,Matt Garza,,R
gausmke01,Kevin Gausman,Kevin,Gausman,BAL,P,32667,Kevin Gausman,,R
gearrco01,Cory Gearrin,Cory,Gearrin,SF,P,30665,Cory Gearrin,,R
geedi01,Dillon Gee,Dillon,Gee,TEX,P,30139,Dillon Gee,,R
geltzst01,Steve Geltz,Steve,Geltz,MIL,P,31393,Steven Geltz,,R
gibsoky01,Kyle Gibson,Kyle,Gibson,MIN,P,31053,Kyle Gibson,,R
gileske01,Ken Giles,Ken,Giles,HOU,P,32762,Ken Giles,,R
