ESPN_ID,Pitcher_name(FL),Name(FL),Team,H/A,Bats,NP,PA,AB,Hits,2B,3B,HR,Runs,RBI,BB,IBB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,ESPN_ID(p),Pitcher_name(FL),P_Team,Throws,Stadium
5890,Luis Severino,Jose Bautista,tor,H,R,63,13,10,2,0,0,1,1,2,3,0,6,0,0,0,0.2,0.385,0.5,0.885,0.385,33263,Luis Severino,nyy,R,Rogers Centre
6188,Luis Severino,Kendrys Morales,tor,H,S,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33263,Luis Severino,nyy,R,Rogers Centre
28886,Luis Severino, Steven Pearce,tor,H,R,11,4,4,1,1,0,0,0,1,0,0,1,0,0,0,0.25,0.25,0.5,0.75,0.312,33263,Luis Severino,nyy,R,Rogers Centre
30636,Luis Severino,Ryan Goins,tor,H,L,28,8,7,2,0,0,1,1,4,0,0,0,0,0,0,0.286,0.25,0.714,0.964,0.362,33263,Luis Severino,nyy,R,Rogers Centre
32938,Luis Severino,Devon Travis,tor,H,R,17,5,5,2,1,0,0,2,0,0,0,0,0,0,0,0.4,0.4,0.6,1,0.43,33263,Luis Severino,nyy,R,Rogers Centre
29772,Luis Severino,Chris Coghlan,tor,H,L,20,6,6,2,0,0,1,1,1,0,0,1,0,0,0,0.333,0.333,0.833,1.167,0.483,33263,Luis Severino,nyy,R,Rogers Centre
33271,Luis Severino,Luke Maile,tor,H,R,18,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0.25,0,0.25,0.175,33263,Luis Severino,nyy,R,Rogers Centre
30175,Luis Severino,Justin Smoak,tor,H,S,50,11,9,4,0,0,1,2,3,1,0,1,1,0,0,0.444,0.545,0.778,1.323,0.555,33263,Luis Severino,nyy,R,Rogers Centre
29563,Luis Severino,Josh Donaldson,tor,H,R,47,11,7,2,0,0,1,4,3,3,0,1,1,0,0,0.286,0.545,0.714,1.26,0.518,33263,Luis Severino,nyy,R,Rogers Centre
29008,Luis Severino,Ezequiel Carrera,tor,H,L,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33263,Luis Severino,nyy,R,Rogers Centre
